time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX,+DI,-DI
2025-04-29,21948.1,21980.85,21567.2,21676.65,21070.78,22212.811976521883,19928.748023478114,18905037,27663818.05,56.59767132721488,52.21491658983227,,,,,14.39448270000355,29.454735597373247,24.89086444900601
2025-04-30,21708.85,21970,21668.15,21772.45,21095.644999999997,22275.42408987176,19915.865910128232,23909010,26957616.2,57.653768189026856,53.66839726245954,,,,,13.9661529987502,28.090344681857214,23.737879414688017
2025-05-02,21729.9,21863,21495.05,21627.45,21120.144999999997,22322.514111753677,19917.775888246317,18396269,26845722.25,55.454322214531075,54.54036872354333,,,,,13.163406658936008,26.480121850754323,25.07388112499825
2025-05-05,21699.1,21802.05,21627,21775.75,21170.342499999995,22393.987489477793,19946.697510522197,18065411,26627631.95,57.25059983325425,55.83969447311871,,,,,12.417999343394257,25.72461942759513,24.358500053313254
2025-05-06,21672.85,21700.3,21359.3,21534.35,21199.417499999996,22428.63079811965,19970.20420188034,22217146,26882733,53.47082791579444,56.38173466634214,,,,,11.965537862203501,23.972308478147163,27.077971999867923
2025-05-07,21320.8,21556.1,21313.4,21462.45,21201.362499999996,22432.110379898222,19970.61462010177,20410582,25123409.65,52.36196515656206,56.455867477851235,,,,,11.649984499740016,22.98946865908895,26.743185335801314
2025-05-08,21464.75,21517.95,21013,21115.05,21229.114999999998,22425.309105109547,20032.92089489045,20877582,23669822.7,47.2620913282868,56.198835258726284,,,,,12.010788254133857,21.05528669788408,29.498373296723752
2025-05-09,20855.05,21107.3,20825.25,21071.75,21282.927499999998,22341.17546313241,20224.679536867585,19217663,22895999.55,46.65219177924818,55.68466550614119,46.65219177924818,,,,12.717547971957469,20.01453167590374,31.242630546805866
2025-05-12,20949.7,21156.75,20576.05,21102.7,21319.167499999996,22297.593192770983,20340.74180722901,39218813,23681920.5,47.176910568107125,55.026614238111314,,,,,13.831135362858724,18.08543319172149,32.36754771328614
2025-05-13,21226.3,21589.1,21225.8,21359.75,21388.339999999997,22148.50331179515,20628.176688204843,33960585,23771431.25,51.448181981553304,54.60367358566548,,,,,13.647818565666478,23.748817175110883,29.77851012128245
2025-05-14,21362.2,21508.4,21176.75,21480.5,21439.269999999997,22069.75654180634,20808.783458193655,20528234,23249296.05,53.35619594217623,54.08189644384204,,,,,13.578814365325254,22.431306199178238,28.946976592029568
2025-05-15,21489.2,21671.35,21327.95,21650.65,21476.192499999997,22063.930485223067,20888.454514776928,34654817,23911702.25,55.98127853968419,53.57582393062268,,,,,13.07974087549552,23.88893869520203,27.260607038109438
2025-05-16,21717,21717,21504.5,21633.2,21514.137499999997,22035.819397207222,20992.455602792772,21107081,23674081.7,55.63545953901785,53.5895296797212,,,,,12.494162423646669,23.798998771756814,26.24181229706307
2025-05-19,21723.85,22026.65,21662.5,21740.45,21544.8225,22043.435956971876,21046.20904302812,22250706,23778441.75,57.378167863535566,53.405688012713775,,,57.378167863535566,,12.038928625410632,27.6065208052396,24.421917706306093
2025-05-20,21819.65,21857.65,21427.75,21456.15,21550.077499999996,22042.589353130625,21057.565646869367,23264584,24007834.95,51.59266728210698,53.048187723777495,,,,,11.33979238947144,25.523670236523085,26.69921859931905
2025-05-21,21489.2,21947.5,21461.2,21723.65,21564.3575,22059.602593134543,21069.112406865454,22370070,24125750.45,56.0799993849469,52.93577566634321,,,,,10.599038575560678,24.90868391937493,24.430469603763513
2025-05-22,21703.35,21741.7,21431.45,21521.75,21553.497499999998,22042.437696213812,21064.557303786183,19532179,24082545.4,52.150537639574246,52.6997910538463,,,,,9.852824830633383,23.5480290653606,23.61974584954555
2025-05-23,21389.35,21452.1,21172.85,21434.25,21526.48,21977.613311115834,21075.346688884165,20003676,23299337.75,50.49908916809638,52.21754029204931,,,,,9.831514473230088,22.08684559248713,26.753264012139674
2025-05-26,21541.65,21650.45,21443.3,21501.8,21527.442499999997,21978.27884533337,21076.606154666624,15862964,22782751.4,51.76888963164761,52.0959732717531,,,,,9.246971514109639,24.8565452431615,25.68950011868587
2025-05-27,21520.35,21590.8,21444.2,21524.95,21508.284999999996,21923.98511678925,21092.584883210744,16156985,22545469.7,52.22123230539169,52.085920925240934,,,,,8.704181623497794,24.1551839675206,24.964635886848363
2025-05-28,21562.6,21574.55,21356.35,21393.3,21494.1175,21905.187652495977,21083.047347504023,17257694,22463102.55,49.38470285551016,52.23753603432832,,,,,8.451283823963253,23.10996849665992,25.626532521170624
2025-05-29,21489.9,21610.7,21419.35,21589.35,21484.9625,21878.616490038094,21091.30850996191,18849329,22210118.5,53.44052517182331,52.72241699094083,,,,,8.099313949029419,22.822387712816983,24.48952004403167
2025-05-30,21570.8,21641.55,21390.1,21442.05,21475.692499999997,21864.186375464775,21087.19862453522,34672403,23023925.2,50.186614591716584,52.937395849770084,,,,,7.668008623098589,22.269688333147837,23.20698038690793
2025-06-02,21445.5,21465.55,21261,21394.1,21456.61,21821.02115597353,21092.198844026472,16332140,22937261.65,49.137746957604065,52.772364776630845,,,,,7.686285234510246,21.29277653953133,24.95760154562332
2025-06-03,21514.55,21514.55,21303.85,21354.2,21447.6025,21812.787125187322,21082.41787481268,19279888,22790398.75,48.234391740139365,52.406521619342506,48.234391740139365,,,,7.519137580693003,21.38386931793267,23.799469127534785
2025-06-04,21338.7,21461.35,21311.7,21371.7,21443.065,21809.651419686263,21076.478580313735,17933736,22666556.45,48.68002702769854,51.885003654200666,,,,,7.363929045005562,20.65089115177496,22.983691076459692
2025-06-05,21407.3,21694.05,21405.9,21644.2,21469.5225,21813.263529662217,21125.78147033778,29002956,23072825.15,55.15405501753869,51.85061761695216,,,,,7.33083746878466,24.446990537758154,21.290787911439107
2025-06-06,21686.85,21707.7,21557,21684.4,21500.155,21803.46073832106,21196.849261678937,17444746,22984179.3,56.035180334248906,51.75468993628882,,,,,7.348590155815149,23.89670696808661,20.529479647543454
2025-06-09,21751.1,21840.95,21694.8,21826.8,21536.359999999997,21812.939931662822,21259.78006833717,23961498,22221313.55,59.1006664323102,52.290975589874776,,,,,7.835009863693497,26.251491041196424,19.739826021514506
2025-06-10,21886.4,21976.9,21802.2,21948,21565.7725,21883.08521243544,21248.45978756456,25756244,21811096.5,61.5575385744317,52.682228389123686,,,,,8.731477822366973,28.529917356602237,18.86765599362993
2025-06-11,22016.4,22090.85,21962.3,22057.15,21594.604999999996,21974.33937413387,21214.870625866122,35609167,22565143.15,63.67390490462055,53.50532605091271,,,63.67390490462055,,9.913395624201456,30.448826254505036,18.16106018311729
2025-06-12,22124.8,22354.75,21968.75,22036.15,21613.879999999997,22039.410588088296,21188.3494119117,34917908,22578297.7,62.95578733225634,54.395090205495556,,,,,11.720236312196931,34.17513444683087,16.37637126225333
2025-06-13,21778.35,22008.9,21742.05,21985.15,21631.477499999997,22086.813884965606,21176.14111503439,24431906,22744538.95,61.15202030460427,55.06531382499247,,,,,12.340583664493296,31.625102208431212,20.90606533664476
2025-06-16,21899.35,22058.6,21840.35,22039.45,21646.427499999998,22133.613834448563,21159.241165551433,20590208,22661514.05,62.387653451273586,55.79148676398403,,,,,13.059884692795464,31.126886642336697,19.729552716707023
2025-06-17,22029.15,22057.15,21516.95,21622.8,21654.76,22134.284085524887,21175.23591447511,36125837,23304576.7,49.40299263718068,55.792793176960494,,,,,12.415553020841012,27.066711309533556,24.965023976339303
2025-06-18,21587.15,21724.1,21534.75,21588.4,21647.997499999998,22127.25941844706,21168.735581552934,28473398,23609743.1,48.50537056140154,55.44028213335894,,,,,11.817245039740447,25.79652974778152,23.79347000434735
2025-06-19,21583.85,21619.3,21394.85,21441.85,21644.002499999995,22128.708409262566,21159.296590737424,24498919,23858080.1,44.77312874164557,55.05360457263958,44.77312874164557,,,,11.205011339223674,24.33851038643082,25.971561864965388
2025-06-20,21443.65,21642.65,21424.75,21613,21652.939999999995,22128.348573333016,21177.531426666974,26593848,24187588.7,49.64604859635341,55.08991183255024,,,,,10.54484182179476,23.57844595018489,24.522493308228615
2025-06-23,21531.3,21672.7,21460.75,21626.2,21659.159999999996,22129.72657722212,21188.59342277787,15797736,24184327.3,50.01238741024658,55.21691152327219,,,,,9.808487142266884,23.059362042404015,23.168402386597055
2025-06-24,21728.2,21864.35,21655.75,21672.1,21666.517499999994,22133.044451283724,21199.990548716265,27994329,24776194.5,51.33813713827746,55.406776531170685,,,,,9.837048890040714,26.655377802109083,21.717322474127105
