time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX,+DI,-DI
2025-04-29,8711.3,8762.4,8596.05,8607.15,8581.904999999999,9356.452993283916,7807.357006716081,79225090,140108622.8,49.49591042401622,44.69047924337086,,,,,16.18075078864383,27.206446140501768,27.78662674972552
2025-04-30,8600.85,8666.15,8524.55,8581.8,8553.005,9280.872590912057,7825.137409087942,93091204,139422833.6,48.75349508318955,46.25184189315285,,,,,15.408055639383294,25.921340920495012,28.859233362721476
2025-05-02,8590.15,8714.55,8458.6,8518.4,8524.3,9208.788021809043,7839.811978190955,135405628,140478752.6,46.860369993874706,47.38926798352412,,,,,14.970787351031078,23.738616807852054,28.598828812421143
2025-05-05,8523.1,8640.7,8505.9,8600.15,8503.465,9151.089124859509,7855.84087514049,68434733,138716068.9,49.57910745896738,48.843938943762204,,,,,14.564752511846876,22.656548745988584,27.295219612478803
2025-05-06,8622.1,8655.6,8498.9,8524.7,8475.697499999998,9067.248853202009,7884.146146797988,99801615,138657304,47.17993088508092,49.4189888757893,,,,,14.103836965941365,21.946776302238234,25.821726105534527
2025-05-07,8428.55,8635.75,8428.2,8608.05,8455.842499999999,8999.71340956873,7911.971590431267,96581063,138633345.45,50.05523963019972,49.723232673150044,,,,,14.017485427107324,20.37766256490495,26.411024143089243
2025-05-08,8618.25,8640.25,8378.7,8428.4,8456.539999999997,9000.232533147375,7912.8474668526205,101360903,131120230.4,44.44002781832559,49.58331330927028,,,,,14.172268673478344,18.575322563173344,25.748965131366795
2025-05-09,8258.8,8436.1,8256.2,8420.55,8485.249999999996,8952.258782572859,8018.241217427133,89509903,121061782.9,44.206665102585056,49.38723819948431,44.206665102585056,,,,14.863458770774333,17.43318055378011,28.352599112704056
2025-05-12,8641.9,8925.65,8620.65,8914.25,8532.682499999997,8970.745064338857,8094.619935661138,161696033,119925133.95,58.844160383062935,49.921933726906104,,,,,14.596586491186248,29.89449384452926,23.907781817210704
2025-05-13,8907.9,8928.1,8814.8,8834.65,8582.039999999997,8908.377281964818,8255.702718035176,125054962,116888911.55,56.28040669544194,50.24563277727712,,,,,14.358423996825257,28.88259326427081,23.03542435855225
2025-05-14,8881,9085.05,8881,9052.1,8626.229999999996,8955.83600783397,8296.623992166022,191523769,117625125.45,61.24751380789035,50.80241190347427,,,,,14.738767233881417,31.5831692819026,21.194767046362706
2025-05-15,9067.1,9223.4,9029.65,9210.05,8665.239999999996,9068.98390100679,8261.496098993202,157007034,119224825.5,64.41047929372596,51.5555425802429,,,64.41047929372596,,15.56604485684257,34.069224951505944,19.871637266562665
2025-05-16,9222,9242.9,9175.95,9201.85,8702.592499999997,9156.642453501976,8248.542546498018,78574081,116984041.25,64.11789363507631,52.668735531818655,,,,,16.399429682864604,33.95700107089503,19.420480656541383
2025-05-19,9222.1,9251.55,9161.65,9210.75,8739.304999999997,9231.43442901249,8247.175570987503,87197709,114739100.1,64.30740508955114,53.55561466435626,,,,,17.085232723297747,32.8775886170858,19.308781551054892
2025-05-20,9285.65,9343.35,9140.35,9156.05,8764.432499999997,9286.858178231056,8242.006821768939,148283405,116823368.05,62.13531399053338,54.45842920482177,,,,,18.05387602251229,33.76331879147592,17.923310800884806
