time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX,+DI,-DI
2011-07-01,3795.9,3902.45,3718.06,3718.06,,,,886044927,,,,,,,,,,
2011-08-01,3680.52,3680.52,2972.57,3226.05,,,,2315446425,,,,,,,,,,
2011-09-02,3325.26,3423.46,2921.39,2921.39,,,,1988141710,,,,,,,,,,
2011-10-03,2877.75,3256.45,2726.6,3157.15,,,,1694327145,,,,,,,,,,
2011-11-01,3130,3174.8,2599.3,2710.3,,,,2188483488,,,,,,,,,,
2011-12-01,2814.2,2907.55,2446.35,2464.6,,,,2296324262,,,,,,,,,,
2012-01-02,2478.1,3119.25,2439.25,3073.8,,,,3080989205,,,,,,,,,,
2012-02-01,3078.1,3455.5,3057.8,3236.65,,,,3193307847,,,,,,,,,,
2012-03-01,3222.85,3270.75,2902.65,3054.75,,,,2621214855,,,,,,,,,,
2012-04-02,3047.25,3107.05,2872.35,2970.25,,,,1612042350,,,,,,,,,,
2012-05-02,2974.8,2998.55,2610.9,2698.55,,,,2148609205,,,,,,,,,,
2012-06-01,2689,2875.1,2594.6,2870.35,,,,1853841769,,,,,,,,,,
2012-07-02,2882.8,2980.85,2638,2783.15,,,,2395848121,,,,,,,,,,
2012-08-01,2777.9,2833.05,2533.1,2554.8,,,,2006973075,,,,,,,,,,
2012-09-03,2570.1,2876.7,2487.95,2768.4,,,,2348658684,,37.29068970685853,,,,,,,10.5532335320641,30.430507998469572
2012-10-01,2776.7,2819.3,2466.6,2665.75,,,,2046054285,,36.219012305288906,,,,,,,9.943504755169522,29.022078696917756
2012-11-01,2664.65,2724.95,2535.75,2711.3,,,,1302040702,,37.083075002987066,,,,,,,9.62233690954058,28.08468703067284
2012-12-03,2717.1,2950.65,2698.75,2900.25,,,,2768985782,,40.67350065062344,,,,40.67350065062344,,,13.162204610029447,26.84162419292631
2013-01-01,2916.15,3013.9,2703.5,2773.25,,,,2221104898,,39.06006047034651,,,,,,,13.562457221826541,25.35252722035268
2013-02-01,2776.05,2798.1,2338.45,2360.35,2880.9575,3484.6476307086277,2277.2673692913722,1898087797,2143326326.6,34.296641760983235,,,,,,,12.46009160359224,29.74709640341055
2013-03-01,2362.35,2453.55,2168.95,2232.1,2806.6595,3341.838063340309,2271.4809366596915,2064347960,2202241478.25,32.952421743481636,,,,,,,11.81950355969099,31.279672852799717
2013-04-01,2242.05,2278.1,2114.95,2199.3,2755.322,3316.1012553081823,2194.542744691818,2104617540,2191700034,32.60050154319852,,,,,,,11.455903613595524,31.335621079727787
2013-05-02,2202.95,2294.45,2148.15,2155.1,2717.0075,3329.493371898281,2104.521628101719,2182959624,2201440929.7,32.102953573346625,,,,,,,11.447818644499657,30.431574254975903
2013-06-03,2159.65,2187.8,1873,1969.2,2657.61,3316.491490558051,1998.7285094419492,2192047333,2226326939.1,30.02723789558975,,,,,,,10.730444976945858,34.001775918681645
2013-07-01,1968.15,2015.75,1665.4,1736.3,2608.91,3379.5235442619755,1838.2964557380242,2109653063,2222385417.85,27.617947972917065,,27.617947972917065,,,,,9.980824902010795,35.76594756020307
2013-08-01,1742.1,1991.45,1598.7,1932.55,2582.3075,3405.922675476389,1758.6923245236108,3810280075,2298083208.5,32.53048806925014,,,,,,,9.204534755399782,34.305030046794734
2013-09-02,1936.2,2191.6,1928.4,2067.8,2532.0075000000006,3352.2831946752685,1711.7318053247327,3016035595,2294835528,35.76606717257589,,,,,,,12.757018575197945,32.481757744076376
2013-10-01,2071.3,2309.25,2035.65,2284.15,2484.3825000000006,3243.831056700843,1724.933943299158,3084636664,2289401968.85,40.66769135312933,34.92059208718404,,,,,45.31488852162901,14.455431278200304,30.657661905438175
2013-11-01,2282.2,2348.9,2237,2346,2448.9450000000006,3163.4413057287256,1734.4486942712758,2736751721,2295178812.15,42.02960399582093,35.25908596496707,,,,,44.458434493000034,14.96179112915826,29.91765735486499
2013-12-02,2345.85,2506.7,2345.85,2486.6,2424.7625000000003,3098.6301404717806,1750.89485952822,2215415903,2325347489.8,45.11386386286969,35.894432504794274,,,,,42.94404935588205,17.956536136839674,28.840034490509144
2014-01-01,2497.65,2531.95,2237.4,2279.65,2403.8175,3068.3191427933093,1739.315857206691,2104344728,2323134265.95,41.60508571081377,36.21743326963904,,,,,41.827976861070596,16.765619239084312,29.36920879259925
2014-02-03,2274.2,2351.75,2132.65,2163.65,2368.4825000000005,3004.543625423493,1732.421374576508,2351177602,2348001057.6,39.73937559484066,36.15071005136884,,,,,41.06253477720354,15.91982408623191,30.299473966918164
