time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX,+DI,-DI
2020-10-19,2350.60009766,2462.10009766,2323.60009766,2443,2243.052526857,2597.9749012487923,1888.1301524652076,599000016,704836504,59.00761477574988,56.80080961165894,,,,,19.75827143163675,28.13125528975158,23.704900746044864
2020-10-26,2432.80004883,2434.75,2279.44995117,2343.60009766,2261.9275329605,2595.4335270453166,1928.421538875683,518362000,692523304,54.169199622394395,57.04510400140225,,,,,18.62894476584411,25.93179201656153,23.962130577058996
2020-11-02,2350.80004883,2512.5,2325.19995117,2500.35009766,2287.0675354019995,2612.7792825773386,1961.3557882266603,608922000,681819854,59.77114666356234,57.52640224251039,,,,,18.08982575388278,27.301926646194314,21.854739518775677
2020-11-09,2525.64990234,2712,2502.19995117,2694.15,2319.6075366225,2670.4868781842056,1968.7281950607946,799920103,677430759.15,65.40187760535909,57.999181264534776,,,,,18.67071039312123,33.775237778314555,19.74186921916674
2020-11-17,2723.14990234,2828.19995117,2718.80004883,2774.75,2357.9200366225,2731.1736692035915,1984.6664040414087,606879992,673823758.75,67.44286124511501,58.419556245350904,,,,,19.718651471920964,37.04830679870576,18.520589142440826
2020-11-23,2792.89990234,2963.75,2779.5,2925.75,2400.2975390639995,2825.706015240744,1974.8890628872552,887032024,656948009.55,70.90562322417466,58.852748105325034,,,,,21.206544797706613,40.02536382660627,16.93031543435571
2020-12-01,2968.85009766,3193.55004883,2935.69995117,3161.35009766,2453.2150439469997,2970.83880340289,1935.5912844911095,824168992,658856709.15,75.31685697690654,59.61275130585362,,,,,23.288232161117612,45.329339409922746,14.969016152214609
2020-12-07,3168.25,3202.35009766,3056.69995117,3146.10009766,2506.1450488299993,3077.1060418440093,1935.1840558159895,813340000,667656858.75,74.52916516579627,60.56922438656831,,,,,25.24517613650581,42.83298485066206,14.017872974451674
2020-12-14,3178.05004883,3289.30004883,3150.60009766,3216.60009766,2559.6100512714993,3183.9158722245566,1935.3042303184423,892196992,676811558.75,75.78973701934457,61.852213913150614,,,,,27.29847843385995,43.960472688871825,13.134235612493699
2020-12-21,3188.85009766,3223.89990234,2980.25,3144.30004883,2601.10754883,3263.8379454025994,1938.3771522574002,640732008,667908059.15,71.86186724367968,62.93253816564812,,,,,27.842120025965695,39.408591494278376,19.013688578568154
2020-12-28,3181.39990234,3284.5,3163.69995117,3258.85009766,2643.7600512715,3358.4842518413525,1929.035850701647,798287000,671491059.15,74.14790691659996,64.77736240290517,,,,,28.557641966805893,39.63864713571176,17.867245557225388
2021-01-04,3291.5,3581.85009766,3287.10009766,3529.19995117,2694.0400439469995,3503.1330253789865,1884.9470625150125,1048622000,689361459.15,78.57251857514115,66.6817257154044,,,78.57251857514115,,30.07965472130309,46.460120941900534,15.542169877536198
2021-01-11,3532.69995117,3586.89990234,3420.39990234,3449.14990234,2740.4800341809996,3608.817124250854,1872.1429441111454,1285605984,717631607.55,74.5062833875766,68.29689563491918,,,,,31.505561911031453,43.534312508942264,14.495051798771772
2021-01-18,3449.89990234,3462.69995117,3212.19995117,3231.44995117,2779.4850268564996,3662.32975387005,1896.6402998429494,912618984,730265955.95,64.69993970828088,69.00875700926294,,,,,31.380562381143868,39.249815876274546,21.2482673000346
2021-01-25,3276,3304,3062.69995117,3077.44995117,2814.1425219735,3686.571676688741,1941.7133672582595,885002992,743765905.15,58.803813466042435,68.99419977285525,58.803813466042435,,,,30.387176934558706,35.61383780905327,25.01930758512052
2021-02-01,3096.25,3466.80004883,3071.94995117,3443.14990234,2868.190019532,3755.7302955071345,1980.6497435568651,1046399968,768296253.55,66.5900499342212,69.88140336655717,,,,,30.053733891687035,36.402111107776534,21.508178568885118
2021-02-08,3467.10009766,3593.14990234,3450.30004883,3486.25,2933.870024415,3799.9628059798943,2067.7772428501057,917495976,781176252.35,67.37273892742246,70.42437424254717,,,,,30.153048149345445,38.99916446025692,20.34036393426344
